FundName,Code,Cost,Shares,TargetWeight,CurrentValue,High_3m
中证红利低波动ETF,007466,1.6691,10819.79,0.22,1.886,1.92
中债新综合指数,161119,1.7562,1138.81,0.03,1.887,1.91
博时黄金ETF,002610,3.0715,1367.41,0.10,3.28,3.35
科创板综合指数,023895,1.0636,5265.35,0.15,1.03,1.20
中证机器人ETF,018344,1.1793,593.55,0.02,1.152,1.22
创业板人工智能,025492,0.9957,1506.41,0.08,0.985,1.10
恒生科技ETF,014438,1.0879,1011.14,0.05,1.01,1.23
易方达消费行业股票,110022,3.6425,137.27,0.01,3.55,3.80
中证消费龙头指数,011853,0.8533,585.95,0.02,0.82,0.95
富时现金流ETF,023919,1.0885,4593.52,0.15,1.09,1.15
中证医药100指数,000059,1.0608,1319.78,0.04,1.051,1.12
广发创新药产业ETF,012737,0.6273,1275.27,0.03,0.611,0.72
中证电网设备主题指数,025856,1.001,997,0.05,0.999,1.05
标普500ETF联接,018064,0,0,0.10,0,1.00
越南市场股票,008763,1.6582,301.53,0.02,1.645,1.72
日本精选股票,007280,1.9443,360.02,0.02,1.95,1.98
印度机会股票,006105,1.4837,336.99,0.02,1.472,1.55
